work,id,t,axis_t,axis_r,axis_m,axis_g,axis_q,priority,axis_t_source,axis_r_source,axis_m_source,axis_g_source,axis_q_source,priority_source
Flags on the Bayou.md,WL-WORK-3150,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
Flesh.md,WL-WORK-3082,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
Flint.md,WL-WORK-2228,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Fools Crow.md,WL-WORK-0926,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事 | QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
Forbidden.md,WL-WORK-1958,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,◆,existing,existing,existing,existing,existing,existing
Forfeit.md,WL-WORK-3097,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
Fortune's Fool.md,WL-WORK-2229,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
Fourth Wing.md,WL-WORK-1959,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
Frenchman's Creek.md,WL-WORK-2230,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗,△,existing,existing,existing,existing,existing,existing
From a Crooked Rib.md,WL-WORK-0927,T5,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长,★,existing,existing,existing,existing,existing,existing
G.H.受难记.md,WL-WORK-1529,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
G.（伯杰）.md,WL-WORK-3038,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
Games of Command.md,WL-WORK-1960,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,◆,existing,existing,existing,existing,existing,existing
Gamperaliya.md,WL-WORK-R3-52616232,T4,T4 全球现代主义时代,R3 南亚文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命,◆,existing,existing,t_default,t_default,t_default,other_topic
Gestaltes en diere.md,WL-WORK-1530,T4,T4 全球现代主义时代,R7 非洲文学,M3.1 现代主义 / Modernism,G1 诗歌,QH5 权力、制度与秩序,◆,existing,existing,existing,existing,mechanism,existing
"Get a Life, Chloe Brown.md",WL-WORK-1961,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
Girls at War.md,WL-WORK-1962,T5,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
Gnomon.md,WL-WORK-0928,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,◆,existing,existing,existing,existing,existing,existing
God's Country.md,WL-WORK-2234,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Gone.md,WL-WORK-3138,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
Grande Sertão／ Veredas.md,WL-WORK-2235,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,◆,existing,existing,existing,existing,existing,existing
Greguerías.md,WL-WORK-1531,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G4 散文与随笔,QH1 自我、存在与生命,◆,existing,existing,existing,existing,t_default,existing
Harmonium.md,WL-WORK-1532,T4,T4 全球现代主义时代,R5 北美文学,M3.1 现代主义 / Modernism,G1 诗歌,QH1 自我、存在与生命,★,existing,existing,existing,existing,t_default,existing
Harvest Home.md,WL-WORK-0502,T2,T2 早期现代文学,R5 北美文学,M1 早期现代思想与美学,G3 小说,QT4 恐怖与哥特,★,existing,existing,existing,existing,existing,existing
Her Privates We.md,WL-WORK-1964,T4,T4 全球现代主义时代,R9 大洋洲与太平洋,M3 现代主义与先锋派,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
Holiday.md,WL-WORK-3041,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
Hombre de la esquina rosada.md,WL-WORK-2238,T4,T4 全球现代主义时代,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,△,existing,existing,existing,existing,existing,existing
Hondo.md,WL-WORK-2239,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Hood.md,WL-WORK-2240,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
Hopscotch.md,WL-WORK-3102,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
Hormiga Negra.md,WL-WORK-2241,T3,T3 19世纪现代文学体系,R6 拉丁美洲与加勒比,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,★,existing,existing,existing,existing,existing,existing
"Horseman, Pass By.md",WL-WORK-2242,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
House Made of Dawn.md,WL-WORK-2243,T5,T5 二战后多极文学,R5 北美文学 | R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
How Much of These Hills Is Gold.md,WL-WORK-2244,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
How the Soldier Repairs the Gramophone.md,WL-WORK-1965,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
Human Sacrifices.md,WL-WORK-0503,T6,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,◆,existing,existing,existing,existing,existing,existing
Imperium.md,WL-WORK-0929,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事,△,existing,existing,existing,existing,existing,existing
In an Antique Land.md,WL-WORK-1355,T6,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记,△,existing,existing,existing,existing,existing,existing
In Flanders Fields.md,WL-WORK-1967,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
In Patagonia.md,WL-WORK-1356,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记,△,existing,existing,existing,existing,existing,existing
In the Castle of My Skin.md,WL-WORK-0930,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长,◆,existing,existing,existing,existing,existing,existing
In the Distance.md,WL-WORK-2247,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
In the Miso Soup.md,WL-WORK-0504,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
India／ A Wounded Civilization.md,WL-WORK-1357,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记,△,existing,author_model,existing,existing,existing,existing
Indigo.md,WL-WORK-1969,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
Indulekha.md,WL-WORK-T3-INDULEKHA,T3,T3 19世纪现代文学体系,R3 南亚文学,M2 19世纪文学思潮,G3 小说,QH2.1 爱情与欲望 | QH4 社会、阶级与劳动 | QH9 殖民、迁徙与身份,◆,existing,existing,existing,existing,existing,existing
Inland.md,WL-WORK-2248,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
invert 城塚翡翠倒叙集.md,WL-WORK-0209,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
It Had to Be You.md,WL-WORK-1970,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
Iwein.md,WL-WORK-2250,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
İntibah.md,WL-WORK-R1-INTIBAH,T3,T3 19世纪现代文学体系,R1 西亚—地中海古老传统,M2 19世纪文学思潮,G3 小说,QH4 社会、阶级与劳动,◆,existing,existing,t_default,t_default,t_default,other_topic
J. Alfred Prufrock的情歌.md,WL-WORK-1533,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G1 诗歌,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
James.md,WL-WORK-3033,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
Jawbone.md,WL-WORK-0505,T6,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,★,existing,existing,existing,existing,existing,existing
Jennifer Government.md,WL-WORK-0931,T6,T6 当代全球文学,R9 大洋洲与太平洋,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,◆,existing,existing,existing,existing,existing,existing
Jerilderie Letter.md,WL-WORK-2251,T3,T3 19世纪现代文学体系,R9 大洋洲与太平洋,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
Johnnie Armstrong.md,WL-WORK-2252,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
Juan Cuello.md,WL-WORK-2254,T3,T3 19世纪现代文学体系,R6 拉丁美洲与加勒比,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,◆,existing,existing,existing,existing,existing,existing
Just Like Home.md,WL-WORK-0506,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,◆,existing,existing,existing,existing,existing,existing
Kinmont Willie.md,WL-WORK-2257,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
Kumulipo.md,WL-WORK-1358,T2,T2 早期现代文学,R9 大洋洲与太平洋,M1 早期现代思想与美学,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,t_default,existing,existing,existing
La liebre.md,WL-WORK-2260,T6,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,△,existing,existing,existing,existing,existing,existing
La noche de los dones.md,WL-WORK-2261,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,△,existing,existing,existing,existing,existing,existing
La poesía gauchesca.md,WL-WORK-2262,T4,T4 全球现代主义时代,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,△,existing,existing,existing,existing,existing,existing
La vuelta de Martín Fierro.md,WL-WORK-2263,T3,T3 19世纪现代文学体系,R6 拉丁美洲与加勒比,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho | QT8.7 侠盗,★,existing,existing,existing,existing,existing,existing
"Lancelot, the Knight of the Cart.md",WL-WORK-2266,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
Lancelot.md,WL-WORK-2264,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
Last of the Breed.md,WL-WORK-2268,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Leaving Cheyenne.md,WL-WORK-2270,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Legion.md,WL-WORK-0507,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
Less.md,WL-WORK-3026,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
"Letters Written during a Short Residence in Sweden, Norway, and Denmark.md",WL-WORK-1360,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G6 纪实与文学非虚构,QT14 旅行与游记,★,existing,existing,existing,existing,existing,existing
Little Brother.md,WL-WORK-0935,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
Live by Night.md,WL-WORK-3139,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
Lone Women.md,WL-WORK-2274,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
Looking for Transwonderland／ Travels in Nigeria.md,WL-WORK-1361,T6,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记,★,existing,existing,existing,existing,existing,existing
