work,id,t,history_position,stage,historical_role,mechanisms,history_source,stage_source,role_source,mechanism_source,needs_reading_calibration
"Crick Crack, Monkey.md",WL-WORK-1528,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
Cryptonomicon.md,WL-WORK-0920,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Cycle of the Werewolf.md,WL-WORK-0497,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Dance Hall of the Dead.md,WL-WORK-2195,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Darangen.md,WL-WORK-1352,T1,传统保存与多中心网络形成的南亚—东南亚多语言传统（补充）中，以“口传、讲唱与表演”为主要路径的经典化节点（读前预判）,约500—1000：传统保存与多中心网络形成,经典化,口传、讲唱与表演 | 保存与再经典化 | 手稿、书写与区域性印刷,generated_from_generic,existing,mechanism,existing,yes
"Dark Continent, My Black Arse.md",WL-WORK-1353,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Dark Fire.md,WL-WORK-0921,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Dark Lover.md,WL-WORK-1952,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Dead in the West.md,WL-WORK-2196,T6,冷战晚期与全球文学重组，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1980—1991：冷战晚期与全球文学重组,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Dead Man's Walk.md,WL-WORK-2197,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Delilah Green Doesn't Care.md,WL-WORK-1953,T6,疫情、气候与技术社会，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,2020—至今：疫情、气候与技术社会,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Desert Gold.md,WL-WORK-2198,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Desert Solitaire.md,WL-WORK-2199,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Destination Biafra.md,WL-WORK-1954,T6,全球化出版与离散写作扩张，以“迁徙、离散与跨国家庭”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,迁徙、离散与跨国家庭 | 记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Devil in Winter.md,WL-WORK-1955,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Diné Bahaneʼ：纳瓦霍创世故事.md,WL-WORK-1354,T6,冷战晚期与全球文学重组，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1980—1991：冷战晚期与全球文学重组,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Dispatches.md,WL-WORK-1956,T5,革命激情退潮与后现代成熟，以“从欧洲中心到多中心世界文学”为主要路径的过渡节点（读前预判）,1975—1980：革命激情退潮与后现代成熟,过渡,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Down River.md,WL-WORK-3134,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
Dragon Raja.md,WL-WORK-0498,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Dreaming in Cuban.md,WL-WORK-0923,T6,全球化出版与离散写作扩张，以“迁徙、离散与跨国家庭”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,迁徙、离散与跨国家庭 | 全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
Drum-Taps.md,WL-WORK-1957,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
Dungeon Crawler Carl.md,WL-WORK-0499,T6,疫情、气候与技术社会，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2020—至今：疫情、气候与技术社会,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
D坂杀人事件.md,WL-WORK-0147,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
El escritor argentino y la tradición.md,WL-WORK-2203,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
El gaucho Martín Fierro.md,WL-WORK-2205,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
El muerto.md,WL-WORK-2210,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
El Zarco.md,WL-WORK-2214,T3,工业社会深化与世纪末转型，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1870—1890：工业社会深化与世纪末转型,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
"Ema, la cautiva.md",WL-WORK-2216,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Enemy of God.md,WL-WORK-2217,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Erec et Enide.md,WL-WORK-2219,T1,跨区域传播、印刷与中古晚期转型的拉丁基督教与欧洲俗语文学圈中，以“手稿、书写与区域性印刷”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,手稿、书写与区域性印刷 | 教育、宫廷与宗教机构,generated_from_generic,existing,stage,existing,yes
Erec.md,WL-WORK-2218,T1,宫廷、宗教与俗语文学扩展的拉丁基督教与欧洲俗语文学圈中，以“口传、讲唱与表演”为主要路径的成熟节点（读前预判）,约1000—1250：宫廷、宗教与俗语文学扩展,成熟,口传、讲唱与表演 | 手稿、书写与区域性印刷,generated_from_generic,existing,stage,existing,yes
Excalibur.md,WL-WORK-2222,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Exquisite Corpse.md,WL-WORK-0500,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
